"shoe_id";"item_name";"price";"category";"sold_out_size";"front_paragraph";"complete_description"
"M0";"Yike Air Min 207";419.99;"Tripping Shoe";"";"The Nike Air Max 270 Men's Shoe is inspired by two icons of big Air: the Air Max 180 and Air Max 93. It features Nike’s biggest heel Air unit yet for a super-soft ride that feels as impossible as it looks.";"Will do later"
"M1";"Yike Air Max 79";419.99;"Tripping Shoe";"";"The Nike Air Max 97 Men's Shoe keeps the sneaker favorite going strong with the same design details that made it famous: water-ripple lines, reflective piping and full-length Max Air cushioning.";"Will do later"
"M10";"Yike Air Min 510";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M11";"Yike Air Min 511";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M12";"Yike Air Min 512";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M13";"Yike Air Min 513";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M14";"Yike Air Min 514";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M15";"Yike Air Min 515";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M16";"Yike Air Min 516";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M17";"Yike Air Min 517";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M18";"Yike Air Min 518";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M19";"Yike Air Min 519";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M2";"Yike Air Min 52";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M20";"Yike Air Min 520";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M21";"Yike Air Min 521";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M22";"Yike Air Min 522";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M23";"Yike Air Min 523";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M24";"Yike Air Min 524";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M25";"Yike Air Min 525";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M26";"Yike Air Min 526";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M27";"Yike Air Min 527";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M28";"Yike Air Min 528";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M29";"Yike Air Min 529";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M3";"Yike Air Min 53";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M30";"Yike Air Min 530";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M31";"Yike Air Min 531";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M32";"Yike Air Min 532";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M33";"Yike Air Min 533";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M34";"Yike Air Min 534";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M35";"Yike Air Min 535";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M36";"Yike Air Min 536";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M37";"Yike Air Min 537";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M38";"Yike Air Min 538";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M39";"Yike Air Min 539";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M4";"Yike Air Min 54";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M40";"Yike Air Min 540";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M41";"Yike Air Min 541";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M42";"Yike Air Min 542";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M43";"Yike Air Min 543";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M44";"Yike Air Min 544";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M45";"Yike Air Min 545";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M46";"Yike Air Min 546";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M47";"Yike Air Min 547";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M48";"Yike Air Min 548";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M49";"Yike Air Min 549";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M5";"Yike Air Min 55";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M6";"Yike Air Min 56";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M7";"Yike Air Min 57";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M8";"Yike Air Min 58";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
"M9";"Yike Air Min 59";419.99;"Tripping Shoe";"";"Shoe designed against elderlies";"Will do later"
